train 4 images, use 0.9824490547180176 seconds, loss 204.6491584777832
train 204 images, use 8.796779870986938 seconds, loss 83.59083146315355
train 404 images, use 17.38359308242798 seconds, loss 56.91177553289077
train 604 images, use 25.972737789154053 seconds, loss 45.331993441832694
train 804 images, use 34.568952798843384 seconds, loss 38.81452427288093
train 1004 images, use 43.38990783691406 seconds, loss 34.79085682308863
train 1204 images, use 51.94578433036804 seconds, loss 31.954091479446713
train 1404 images, use 60.515952825546265 seconds, loss 29.853334993124008
train 1604 images, use 69.07355427742004 seconds, loss 28.24703305040426
train 1804 images, use 77.62649416923523 seconds, loss 26.979142313509914
train 2004 images, use 86.19213581085205 seconds, loss 25.93788215173668
train 2204 images, use 94.7391836643219 seconds, loss 25.093834068464197
train 2404 images, use 103.39646792411804 seconds, loss 24.383528319704176
train 2604 images, use 112.1059718132019 seconds, loss 23.78430188506659
train 2804 images, use 120.7055549621582 seconds, loss 23.27850229719765
train 3004 images, use 129.3352882862091 seconds, loss 22.81800754146373
train 3204 images, use 137.14604568481445 seconds, loss 22.43569377770745
train 3404 images, use 145.70007038116455 seconds, loss 22.089660409470678
train 3604 images, use 154.19766640663147 seconds, loss 21.797376971022782
train 3804 images, use 162.5606586933136 seconds, loss 21.5114976989121
train 4004 images, use 171.22678089141846 seconds, loss 21.266217610555255
train 4204 images, use 179.816011428833 seconds, loss 21.032887613818673
train 4404 images, use 188.4269576072693 seconds, loss 20.847705327014957
train 4604 images, use 197.18959760665894 seconds, loss 20.661869060662056
train 4804 images, use 205.7052915096283 seconds, loss 20.493662774662013
train 5004 images, use 214.2780237197876 seconds, loss 20.335973879018912
train 5204 images, use 222.95531010627747 seconds, loss 20.18401527404785
train 5404 images, use 231.47799587249756 seconds, loss 20.050448466334824
train 5604 images, use 236.41196870803833 seconds, loss 19.915933564113992
train 5804 images, use 239.66287446022034 seconds, loss 19.80335272901971
train 6004 images, use 243.0837836265564 seconds, loss 19.69059956978545
train 6204 images, use 246.37893962860107 seconds, loss 19.585147949223664
train 6404 images, use 249.77449250221252 seconds, loss 19.48520422041342
train 6604 images, use 253.16928362846375 seconds, loss 19.39134584443044
train 6804 images, use 256.5392179489136 seconds, loss 19.298746826225667
train 7004 images, use 259.914422750473 seconds, loss 19.219445542657756
train 7204 images, use 263.3912184238434 seconds, loss 19.150432241082058
train 7404 images, use 266.72171115875244 seconds, loss 19.07532269290405
train 7604 images, use 270.03443908691406 seconds, loss 19.01049060049368
train 7804 images, use 273.3517396450043 seconds, loss 18.950073238279
train 8004 images, use 276.7228858470917 seconds, loss 18.883838050968045
train 8204 images, use 280.0350649356842 seconds, loss 18.817149716743483
train 8404 images, use 283.3753128051758 seconds, loss 18.75822407580012
train 8604 images, use 286.75369930267334 seconds, loss 18.7053024471914
train 8804 images, use 290.0688753128052 seconds, loss 18.652957121098073
train 9004 images, use 293.32352113723755 seconds, loss 18.60649930477989
train 9204 images, use 296.64858174324036 seconds, loss 18.56003088623829
train 9404 images, use 299.9392349720001 seconds, loss 18.516927117798605
train 9604 images, use 303.2691969871521 seconds, loss 18.4667457029484
train 9804 images, use 306.5668363571167 seconds, loss 18.41888100404724
train 10004 images, use 309.88868713378906 seconds, loss 18.377242171411798
train 10204 images, use 313.145206451416 seconds, loss 18.333816762628228
train 10404 images, use 316.49109721183777 seconds, loss 18.295341274721817
train 10604 images, use 319.81770038604736 seconds, loss 18.256212176960158
train 10804 images, use 323.12187027931213 seconds, loss 18.223138114243064
train 11004 images, use 326.4521381855011 seconds, loss 18.189868911407714
train 11204 images, use 329.7418384552002 seconds, loss 18.151969015896107
train 11404 images, use 333.0578474998474 seconds, loss 18.112729551414287
train 11604 images, use 336.37646675109863 seconds, loss 18.076588117032934
train 11804 images, use 339.62786412239075 seconds, loss 18.049451071718522
train 12004 images, use 342.8762860298157 seconds, loss 18.014578202976377
train 12204 images, use 346.23153376579285 seconds, loss 17.98628536214366
train 12404 images, use 349.45387625694275 seconds, loss 17.95821509893136
train 12604 images, use 352.9141118526459 seconds, loss 17.937290306018692
train 12804 images, use 356.2324049472809 seconds, loss 17.91216743625305
train 13004 images, use 359.4826395511627 seconds, loss 17.886548017077192
train 13204 images, use 362.7220528125763 seconds, loss 17.86026228333444
train 13404 images, use 366.0290491580963 seconds, loss 17.838708199862932
train 13604 images, use 369.3368787765503 seconds, loss 17.821106389576656
train 13804 images, use 372.6159701347351 seconds, loss 17.79840843398491
train 14004 images, use 375.939414024353 seconds, loss 17.772968191204583
train 14204 images, use 379.0936236381531 seconds, loss 17.750924095914172
train 14404 images, use 382.4316747188568 seconds, loss 17.730597626295836
train 14604 images, use 385.6789004802704 seconds, loss 17.708083145720284
train 14804 images, use 389.0324990749359 seconds, loss 17.68752115266121
train 15004 images, use 392.30445432662964 seconds, loss 17.6683931226161
train 15204 images, use 395.613742351532 seconds, loss 17.65042227409439
train 15404 images, use 398.9218657016754 seconds, loss 17.633751511697582
train 15604 images, use 402.224200963974 seconds, loss 17.617181070152764
train 15804 images, use 405.5914282798767 seconds, loss 17.599374640808414
train 16004 images, use 408.9997069835663 seconds, loss 17.58583844917408
train 16204 images, use 412.3457384109497 seconds, loss 17.57054805826223
train 16404 images, use 415.3111267089844 seconds, loss 17.558221009346056
train 16604 images, use 418.6526212692261 seconds, loss 17.538959934532297
train 16804 images, use 421.96585726737976 seconds, loss 17.525656585974787
train 17004 images, use 425.27810978889465 seconds, loss 17.506086872527874
train 17204 images, use 428.59143900871277 seconds, loss 17.49586567907542
train 17404 images, use 431.92479515075684 seconds, loss 17.480715924983514
train 17604 images, use 435.2810003757477 seconds, loss 17.464620766559552
train 17804 images, use 438.5640995502472 seconds, loss 17.449821050169227
train 18004 images, use 441.9132697582245 seconds, loss 17.437164763565438
train 18204 images, use 445.2432279586792 seconds, loss 17.427841030859987
train 18404 images, use 448.5580224990845 seconds, loss 17.418590923849784
train 18604 images, use 451.64522790908813 seconds, loss 17.406155482921125
train 18804 images, use 454.92721009254456 seconds, loss 17.393853573330613
train 19004 images, use 458.26176953315735 seconds, loss 17.383354583171883
train 19204 images, use 461.8360276222229 seconds, loss 17.370230393129702
train 19404 images, use 465.14227986335754 seconds, loss 17.35884049424237
train 19604 images, use 468.4771075248718 seconds, loss 17.34858544356285
train 19804 images, use 471.81160402297974 seconds, loss 17.334914620743046
train 20004 images, use 475.1013708114624 seconds, loss 17.324391244364374
train 20204 images, use 478.4416847229004 seconds, loss 17.314601253726988
train 20404 images, use 481.7702453136444 seconds, loss 17.303684376866524
train 20604 images, use 485.07557129859924 seconds, loss 17.29251796414393
train 20804 images, use 488.37569856643677 seconds, loss 17.28379839798525
train 21004 images, use 491.71842074394226 seconds, loss 17.27570257364841
train 21204 images, use 495.18846893310547 seconds, loss 17.26587786021569
train 21404 images, use 498.4223337173462 seconds, loss 17.26017555634537
train 21604 images, use 501.6861057281494 seconds, loss 17.25104167539956
train 21804 images, use 505.12102246284485 seconds, loss 17.23995101180745
train 22004 images, use 508.430388212204 seconds, loss 17.22861806404283
train 22204 images, use 511.91683292388916 seconds, loss 17.21927324667444
train 22404 images, use 515.7228314876556 seconds, loss 17.209052763424445
train 22604 images, use 519.0195133686066 seconds, loss 17.199647310854946
train 22804 images, use 522.2132272720337 seconds, loss 17.192094669388872
train 23004 images, use 525.5432531833649 seconds, loss 17.184578869372647
train 23204 images, use 528.7959358692169 seconds, loss 17.173862242279526
train 23404 images, use 531.9380528926849 seconds, loss 17.166633400946388
train 23604 images, use 535.1508617401123 seconds, loss 17.16000160254773
train 23804 images, use 538.332396030426 seconds, loss 17.15017523800814
train 24004 images, use 542.8509578704834 seconds, loss 17.142173871800168
train 24204 images, use 546.9600374698639 seconds, loss 17.133834713118326
train 24404 images, use 550.0929706096649 seconds, loss 17.12719657326557
train 24604 images, use 553.1734175682068 seconds, loss 17.120800804254756
train 24804 images, use 556.2338185310364 seconds, loss 17.11350020098325
train 25004 images, use 559.2303376197815 seconds, loss 17.104211208077476
train 25204 images, use 562.2222511768341 seconds, loss 17.096604934536213
train 25404 images, use 565.2039442062378 seconds, loss 17.08864936285115
train 25604 images, use 568.1650128364563 seconds, loss 17.082450686451494
train 25804 images, use 571.0540895462036 seconds, loss 17.07890591633224
train 26004 images, use 573.9548149108887 seconds, loss 17.07390497853594
train 26204 images, use 576.8919403553009 seconds, loss 17.066948324187187
train 26404 images, use 580.6134512424469 seconds, loss 17.063331517910314
train 26604 images, use 583.5584166049957 seconds, loss 17.05715402407024
train 26804 images, use 586.4939086437225 seconds, loss 17.052330333842907
train 27004 images, use 589.4586517810822 seconds, loss 17.045900804736604
train 27204 images, use 592.4278209209442 seconds, loss 17.03916877033219
train 27404 images, use 595.3532507419586 seconds, loss 17.033207915501503
train 27604 images, use 598.3309416770935 seconds, loss 17.02688061524322
train 27804 images, use 601.2489674091339 seconds, loss 17.021853324458842
train 28004 images, use 604.2329680919647 seconds, loss 17.0182291319356
train 28204 images, use 607.1899390220642 seconds, loss 17.014724971351473
train 28404 images, use 610.2378079891205 seconds, loss 17.008316943491725
train 28604 images, use 613.9382679462433 seconds, loss 17.00260799776521
train 28804 images, use 617.2887725830078 seconds, loss 16.99981009433813
train 29004 images, use 620.2445864677429 seconds, loss 16.995701375483677
train 29204 images, use 623.2279410362244 seconds, loss 16.991905092376776
train 29404 images, use 626.2236926555634 seconds, loss 16.98549782101296
train 29604 images, use 629.086808681488 seconds, loss 16.97970488856722
train 29804 images, use 632.0535972118378 seconds, loss 16.974172334932092
train 30004 images, use 634.9724018573761 seconds, loss 16.967173426858714
train 30204 images, use 637.906512260437 seconds, loss 16.96355506967185
train 30404 images, use 640.8796541690826 seconds, loss 16.959272002019684
train 30604 images, use 643.7418956756592 seconds, loss 16.9536398212385
train 30804 images, use 646.7796258926392 seconds, loss 16.948798374521736
train 31004 images, use 650.2327260971069 seconds, loss 16.94640610966028
train 31204 images, use 653.1135745048523 seconds, loss 16.94070106480434
train 31404 images, use 655.6948807239532 seconds, loss 16.937033885847956
train 31604 images, use 658.5851364135742 seconds, loss 16.933665381416855
train 31804 images, use 661.4496817588806 seconds, loss 16.928766221347708
train 32004 images, use 664.3152742385864 seconds, loss 16.925695350187418
train 32204 images, use 667.1461992263794 seconds, loss 16.92106184921511
train 32404 images, use 670.0327370166779 seconds, loss 16.915715097527656
train 32604 images, use 672.8991823196411 seconds, loss 16.90965940474996
train 32804 images, use 675.7588472366333 seconds, loss 16.90455023773238
train 33004 images, use 678.6230177879333 seconds, loss 16.901488056358527
train 33204 images, use 681.993400812149 seconds, loss 16.898150398311373
train 33404 images, use 685.4747078418732 seconds, loss 16.893876185819106
train 33604 images, use 688.3435943126678 seconds, loss 16.890403646198063
train 33804 images, use 691.2064125537872 seconds, loss 16.887955600144565
train 34004 images, use 694.106454372406 seconds, loss 16.884880448756178
train 34204 images, use 696.9396667480469 seconds, loss 16.882263594860223
train 34404 images, use 699.7611513137817 seconds, loss 16.880057284566476
train 34604 images, use 702.7580406665802 seconds, loss 16.87565322513113
train 34804 images, use 705.7085828781128 seconds, loss 16.869092045145948
train 35004 images, use 708.7022075653076 seconds, loss 16.86729540227754
train 35204 images, use 711.6254932880402 seconds, loss 16.865316664893584
train 35404 images, use 714.5508618354797 seconds, loss 16.864207285214377
train 35604 images, use 718.015430688858 seconds, loss 16.860764856687744
train 35804 images, use 720.9622259140015 seconds, loss 16.85666912170901
train 36004 images, use 723.9929938316345 seconds, loss 16.85352965361064
train 36204 images, use 726.9196231365204 seconds, loss 16.851490300153664
train 36404 images, use 729.865763425827 seconds, loss 16.84824215179222
train 36604 images, use 732.8071296215057 seconds, loss 16.84363589711956
train 36804 images, use 735.7766904830933 seconds, loss 16.839737599892505
